Model,Simple Max Logits
No Aug (56.29% mIoU) Ablation,13.48
+Scale (51.76% mIoU) Ablation,15.61
+Scale+Rotate (50.43% mIoU) Ablation,14.18
+Scale+Rotate+Flip (49.01% mIoU) Ablation,13.75
+Scale+Rotate+Flip+Color (48.13% mIoU) Ablation,15.73
