Model,Simple Max Logits,Maximum Softmax Probability,Standardized Max Logits,Energy Score,HEAT
ResNet50 (50.26% mIoU) Augmented,16.35,11.69,12.17,16.17,16.17
ResNet50 (37.57% mIoU) Baseline,11.98,11.62,7.49,11.51,11.51
ResNet101 (37.07% mIoU) Baseline,12.13,10.52,8.04,12.02,12.02
SegFormer-B5 (35.57% mIoU) Baseline,15.04,13.98,9.86,14.96,14.96
SegFormer-B5 (54.12% mIoU) Augmented,15.84,12.92,10.01,14.83,14.83
Hiera-Base (32.83% mIoU) 224,12.37,10.80,8.05,13.26,13.26
Hiera-Large (46.77% mIoU) 224,15.93,12.56,9.37,16.28,16.28
